HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind
0.208,0.13,0.95,0.58,0.051,0.013,0.237,0.008,0.765,0.273
0.712,0.461,0.583,0.273,0.392,1,0.424,0.042,0.432,0.206
0.629,0.354,0.7,0.881,0.072,0.459,0.002,0.097,0.876,0.172
0.332,0.212,0.933,0.743,0.302,0.366,0.629,0.029,0.832,0.044
0.682,0.475,1,0.177,0.545,0.873,0.01,0.155,0.832,0.089
0.801,0.455,0.8,0.601,0.164,0.567,0.116,0.116,0.669,0.504
0.679,0.46,0.817,0.415,0.192,1,0.123,0.05,0.437,0.19
0.977,0.847,0.633,0.848,0.41,0.825,0.107,0.445,0.835,0.125
0.938,0.828,0.833,0.529,0.645,1,0.375,0.203,0.176,0.336
0.643,0.443,0.983,0.355,0.118,0.622,0.022,0.097,0.39,0.197
0.746,0.59,0.267,0.659,0.524,1,0.011,0.124,0.731,0.093
0.813,0.546,0.2,0.784,0.02,0.147,0,0.521,0.832,0.084
0.423,0.301,0.167,0.359,0.048,0.889,0.34,0.013,0.535,0.035
0.746,0.625,0.05,0.266,0.511,0.028,0.065,0.118,0.837,0.109
0.762,0.432,0.517,0.537,0.279,0.541,0.08,0.182,0.106,0.103
0.954,0.719,0.433,0.344,0.569,1,0.118,0.229,0.106,0.152
0.572,0.316,0.517,0.571,1,0.966,0.444,0.039,0.651,0.044
0.268,0.372,0.417,0.453,0.466,1,0.487,0.016,0.724,0.043
0.462,0.55,0.35,0.489,0.514,1,0.898,0.042,0.364,0.072
0.575,0.311,0.483,0.718,0.512,0.967,0.084,0.053,0.747,0.125
0.686,0.326,0.267,0.433,0.424,0.13,0.392,0.171,0.292,0.226
0.606,0.577,0.2,0.832,0.716,1,0.312,0.079,0.915,0.069
0.659,0.432,0.083,0.672,0.525,0.8,0.521,0.058,0.711,0.083
0.789,0.787,0.1,0.6,0.128,1,0,0.487,0.597,0
0.75,0.556,0.1,0.361,0.375,1,0.216,0.166,0.346,0.109
0.103,0.297,0.817,0.501,0.356,0.872,0.741,0.005,0.848,0.064
0.069,0.163,0.833,0.425,0.256,0.467,0.947,0,0.687,0.026
0.481,0.545,0.833,0.367,0.021,0.169,0.255,0.032,0.804,0.256
0.355,0.339,0.717,0.434,0.315,1,0.685,0.016,0.661,0.053
0.3,0.284,0.917,0.673,0.278,0.68,0.893,0.008,0.716,0.044
0.95,0.884,0.6,1,0.292,0.675,0.246,0.403,0.186,0.236
0.005,0.063,0.6,0.713,0.345,0.97,0.896,0.003,0.819,0.027
0.007,0.106,0.867,0.739,0.195,0.774,0.944,0.003,0.964,0.274
0.812,0.726,0.183,0.762,0.324,0.446,0.282,0.121,0.835,1
0.652,0.598,0.183,0.579,0.205,0.085,0.145,0.184,0.413,0.187
0.663,0.493,0.2,0.559,0.53,0.773,0.34,0.053,0.605,0.063
0.284,0.082,0.15,0.205,0.143,0.6,0.609,0.008,0.651,0.047
0.739,0.576,0.117,0.337,0.569,0.98,0.395,0.042,0.61,0.277
0.256,0.362,0.117,0.442,0.457,0.981,0.703,0.008,0.651,0.024
0.812,0.572,0.283,0.323,0.451,1,0.364,0.118,0.313,0.338
0.691,0.435,0.133,0.451,0.34,0.693,0.231,0.066,0.744,0.083
0.876,0.71,0.183,0.219,0.148,1,0.134,0.166,0.693,0.059
0.899,0.685,0.067,0.43,0.501,1,0.163,0.261,0.142,0.132
0.97,0.933,0.25,0.355,0.354,0.859,0.391,0.161,0.062,0.226
0.231,0.307,0.35,0.693,0.077,0.078,0.308,0.018,0.912,0.264
0.618,0.414,0.517,0.353,0.762,0.85,0.09,0.066,0.623,0.216
0.643,0.391,0.267,0.349,0.401,0.99,0.178,0.061,0.747,0.096
0.648,0.382,0.25,0.431,0.48,0.774,0.181,0.066,0.457,0.134
0.556,0.376,0.317,0.91,0.107,0.424,0.053,0.063,0.964,0.185
0.496,0.366,0.367,0.359,0.283,0.438,0.257,0.029,0.876,0.139
0.352,0.159,0.483,0.672,0.362,1,0.054,0.113,0.535,0
0.115,0.061,0.55,0.613,0.109,0.281,0.81,0.005,0.915,0.208
0.885,0.753,0.367,0.628,0.317,1,0.319,0.389,0.049,0.162
0.162,0.326,0.4,0.563,0.264,0.765,0.995,0.003,0.858,0.107
0.62,0.524,0.267,0.825,0.062,0.09,0.309,0.063,0.463,0.124
0.966,0.931,0.7,0.888,0.268,0.728,0.489,0.224,0.013,0.128
0.901,0.803,0.433,0.345,0.509,1,0.169,0.137,0.245,0.205
0.549,0.264,0.05,0.815,0.312,0.952,0.995,0.066,0.519,0.006
0.181,0.327,0.167,0.407,0.306,0.317,0.58,0.008,0.832,0.049
0.742,0.672,0.85,0.405,0.292,0.537,0.309,0.068,0.307,0.213
0.982,0.85,0.817,0.375,0.572,1,0.175,0.239,0.116,0.165
0.385,0.426,0.75,0.422,0.393,0.843,0.465,0.016,0.664,0.041
0.877,0.571,0.133,0.232,0.326,1,0.198,0.184,0.496,0.226
0.684,0.444,0.067,0.329,0.68,0.187,0.115,0.063,0.744,0.123
0.478,0.316,0.05,0.439,0.541,0.502,0.71,0.029,0.703,0.079
0.147,0.292,0.15,0.458,0.186,0.882,0.774,0.008,0.786,0.025
0.153,0.118,0.2,0.472,0.291,0.994,0.961,0.005,0.793,0.026
0.512,0.385,0.15,0.776,0.792,0.565,0.186,0.082,0.693,0.038
0.206,0,0.2,0.296,0.313,0.537,0.844,0.008,0.778,0.148
0.426,0.331,0.483,0.438,0.531,0.794,0.554,0.026,0.68,0.118
0.817,0.593,0.383,0.229,0.312,1,0.15,0.134,0.256,0.098
0.986,0.834,0.383,0.982,0.484,0.758,0.866,0.284,0.664,0.629
0.446,0.516,0.5,0.387,0.088,0.37,0.351,0.053,0.664,0.08
0.575,0.519,0.417,0.726,0.205,0.833,0.231,0.061,0.54,0.028
0.691,0.345,0.283,0.666,0.086,0.352,0.011,0.232,0.773,0.21
0.497,0.16,0.117,0.781,0.027,0.498,0.005,0.139,0.757,0.134
0.996,0.778,0.167,0.364,0.443,0.829,0.119,0.213,0,0.328
0.933,0.789,0.35,0.467,0.123,0.511,0.041,0.203,0.832,0.095
0.885,0.585,0.083,0.27,0.416,1,0.189,0.147,0.398,0.194
0.604,0.593,0.133,0.328,0.398,0.966,0.096,0.074,0.693,0.117
0.933,0.85,0.183,0.566,0.287,1,0.082,0.239,0.279,0.196
0.595,0.499,0.183,0.755,0.111,0.106,0.08,0.063,0.902,0.118
0.766,0.505,0.267,0.701,0.045,0.242,0.021,0.463,0.333,0.18
0.368,0.385,0.217,0.56,0.265,0.675,0.8,0.011,0.84,0.193
0.419,0.42,0.183,0.569,0,1,0.455,0.016,0.93,0.039
0.732,0.48,0.717,0.793,0.093,0.984,0,0.624,0.814,0.155
0.538,0.315,0.967,0.597,0.209,0.223,0.257,0.042,0.408,0.251
0.389,0.291,0.783,0.578,0.3,0.968,0.464,0.071,0.504,0.118
0.838,0.737,0.683,0.609,0.323,1,0.457,0.097,0.062,0.119
0.622,0.279,0.883,0.181,0.136,0.151,0.052,0.092,0.731,0.143
0.236,0.279,0.65,0.339,0.107,0.014,0.425,0.034,0.778,0.268
0.153,0.151,0.667,0.572,0.174,0.557,0.965,0.008,0.607,0.007
0.867,0.722,0.983,0.503,0.342,0.994,0.371,0.126,0.075,0.123
0.927,0.885,0.283,0.423,0.655,1,0.177,0.418,0.127,0.115
0.238,0.206,0.083,0.394,0.177,0.291,0.903,0.005,0.791,0.171
0.158,0.299,0.067,0.461,0.416,1,0.811,0.003,0.791,0.093
0.739,0.711,0.067,0.571,0.148,1,0.059,0.213,0.563,0.012
0.615,0.43,0.2,0.133,0.106,0.024,0.012,0.079,0.791,0.019
0.071,0.226,0,0.754,0.115,0.68,0.848,0.005,0.902,0.138
0.89,0.678,0.217,0.116,0.143,1,0.083,0.095,0.641,0.129
0.551,0.129,0.367,0.5,0.132,0.05,0.13,0.068,0.734,0.101
0.27,0.358,0.5,0.927,0.046,0.03,0.278,0.016,0.907,0.204
0.728,0.681,0.383,0.155,0.111,0.278,0.102,0.1,0.641,0.151
0.684,0.439,0.367,0.571,0.215,0.852,0.107,0.1,0.827,0.115
0.401,0.432,0.217,0.478,0.03,0,0.076,0.034,0.574,0.059
0.632,0.385,0.5,0.282,0.147,0.221,0.285,0.034,0.264,0.094
0.609,0.43,0.367,0.743,0.238,0.739,0.037,0.234,0.463,0.206
0.773,0.513,0.167,0.419,0.458,0.484,0.45,0.084,0.344,0.224
0.519,0.448,0.367,0.469,0.465,1,0.12,0.047,0.783,0.225
0.11,0.281,0.417,0.566,0.497,0.986,0.73,0.008,0.736,0.063
0.336,0.204,0.45,0.531,0.169,0.155,0.665,0.013,0.558,0.048
0.448,0.499,0.5,0.836,0.799,1,0.336,0.045,1,0.124
0.369,0.229,0.433,0.408,0.279,0.457,0.831,0.008,0.517,0.142
0.977,0.9,0.333,0.267,0.396,0.935,0.082,0.25,0.085,0.194
0.954,0.87,0.083,0.572,0.573,0.909,0.344,0.192,0.261,0.713
0.472,0.294,0.867,0.43,0.694,0.939,0.556,0.024,0.649,0.193
0,0.287,0.533,0.854,0.26,0.839,0.863,0.003,0.964,0.18
0.258,0.219,0.683,0.457,0.327,0.621,0.882,0.018,0.752,0.074
0.675,0.475,0.917,0.39,0.371,0.705,0.231,0.092,0.393,0.124
1,0.915,0.883,0.812,0.484,0.83,0.673,0.218,0.013,0.411
0.744,0.537,0.767,0.913,0.035,0.14,0,0.366,0.969,0.17
0.29,0.316,0.933,0.555,0.095,0.551,0.462,0.029,0.726,0.168
0.748,0.491,0.783,0.377,0.454,0.753,0.27,0.068,0.571,0.144
0.286,0.285,0.133,0.93,0.135,0.116,0.549,0.024,0.504,0.047
0.593,0.35,0.267,0.678,0.201,0.841,0.656,0.029,0.659,0.088
0.68,0.46,0.133,0.587,0.575,0.817,0.309,0.045,0.677,0.056
0.575,0.488,0.4,0.423,0.234,0.922,0.257,0.034,0.568,0.17
0.863,0.618,0.35,0.43,0.49,1,0.125,0.239,0.116,0.129
0.835,0.748,0.35,0.256,0.426,1,0.306,0.132,0.527,0.152
0.806,0.642,0.333,0.899,0.032,0.634,0,1,0.871,0.09
0.153,0.148,0.45,0.847,0.28,1,0.773,0,0.602,0.011
0.771,0.409,0.5,0.351,0.351,0.976,0.255,0.1,0.269,0.109
0.764,0.511,0.317,0.95,0.229,0.564,0.035,0.308,0.152,0.225
0.265,0.519,0.433,0.404,0.299,0.547,0.949,0.003,0.659,0.015
0.648,0.529,0.25,0.396,0.675,0.295,0.113,0.061,0.742,0.095
0.611,0.529,0.4,0.324,0.711,0.637,0.055,0.053,0.687,0.18
0.57,0.579,0.383,0.718,0.015,0.425,0.405,0.034,0.581,0.049
0.41,0.328,0.45,0.232,0.3,1,0.419,0.016,0.457,0.014
0.817,0.548,0.467,0.862,0.061,0.28,0,0.484,0.951,0.122
0.21,0.462,0.117,0.501,0.394,1,0.405,0.018,0.845,0.063
0.732,0.48,0.1,0.327,0.319,0.503,0.234,0.137,0.297,0.111
0.714,0.598,0.083,0,0.076,1,0.014,0.176,0.801,0.142
0.103,0.21,0.217,0.428,0.15,0.929,0.881,0.003,0.669,0.014
0.966,1,0.283,0.367,0.051,0.292,0.008,0.187,0.506,0.008
0.828,0.635,0.283,0.403,0.469,1,0.137,0.174,0.186,0.131
0.929,0.731,0.167,0.466,0.566,1,0.233,0.182,0.238,0.213
0.307,0.24,0.817,0.896,0.062,0.016,0.537,0.008,0.483,0.051
0.56,0.562,1,0.598,0.247,0.452,0.115,0.213,0.801,0.154
0.927,0.801,0.733,0.522,0.162,0.882,0.035,0.339,0.377,0.152
0.906,0.712,0.55,0.293,0.474,1,0.192,0.15,0.53,0.202
0.689,0.449,0.233,0.382,0.422,0.982,0.569,0.029,0.711,0.161
0.206,0.093,0.05,0.735,0.092,0.127,0.68,0.013,0.979,0.208
0.611,0.336,0.383,0.927,0.994,0.844,0.213,0.082,0.736,0.017
0.979,0.908,0.083,0.817,0.337,0.637,0.581,0.108,0.041,0.209
0.996,0.937,0.25,0.498,0.705,0.533,0.268,0.113,0.214,0.324
0.487,0.228,0.183,0.585,0.275,0.755,0.437,0.016,0.512,0.258
0.24,0.268,0.133,0.516,0.682,0.989,0.926,0.005,0.809,0.088
0.68,0.56,0.117,0.419,0.221,0.591,0.263,0.111,0.62,0.073
0.377,0.267,0.25,0.409,0.242,0.946,0.204,0.011,0.721,0.11
0.215,0.259,0.433,0.399,0.354,0.984,0.831,0.011,0.695,0.036
0.588,0.514,0.383,0.606,0.051,0.583,0.019,0.034,0.587,0.136
0.714,0.499,0.467,0.493,0.934,0.988,0.005,0.824,0.736,0.047
0.615,0.452,0.55,0.593,0.042,0.371,0.132,0.071,0.716,0.185
0.757,0.487,0.383,0.353,0.11,0.014,0.131,0.137,0.535,0.147
0.57,0.203,0.4,0.741,0.028,0.224,0.001,0.361,0.566,0.186
0.266,0.338,0.35,0.514,0.378,0.953,1,0.003,0.804,0.03
0.684,0.406,0.367,0.331,0.177,0.26,0.076,0.134,0.212,0.11
0.881,0.801,0.35,0.906,0.09,0.904,0.003,0.561,0.91,0.079
0.956,0.815,0.3,0.359,0.514,0.979,0.122,0.147,0.016,0.364
0.945,0.827,0.25,0.588,0.16,0.616,0.112,0.437,0.509,0.284
0.751,0.64,0.4,0.483,0.067,0.201,0.672,0.053,0.584,0.133
0.579,0.354,0.3,0.72,0.018,0.35,0.016,0.074,0.512,0.177
0.382,0.347,0.55,0.798,0.107,0.241,0.341,0.013,0.457,0.125
0.563,0.084,0.367,0.638,0.74,1,0.161,0.126,0.729,0.094
0.551,0.485,0.25,0.463,0.254,0.28,0.26,0.058,0.444,0.131
0.337,0.316,0.25,0.718,0.695,1,0.942,0.008,0.866,0.055
0.314,0.191,0.383,0.586,0.549,0.991,0.901,0.021,0.84,0.065